entity,annee,pub_count_publications,pub_sum_Impact_factor,pub_count_Author,pub_sum_author,pub_count_First_Author,pub_sum_first_author,pub_count_Last_Author,pub_sum_last_author,guid_count_publications,guid_sum_Impact_factor,guid_count_Author,guid_sum_author,guid_count_First_Author,guid_sum_first_author,guid_count_Last_Author,guid_sum_last_author,nombre_session_congress,cong_count_chair,cong_count_poster,cong_count_speaker,count_collab_distinct,count_collab,sum_score_collab,pub_count_publications_a-1,pub_sum_Impact_factor_a-1,pub_count_Author_a-1,pub_sum_author_a-1,pub_count_First_Author_a-1,pub_sum_first_author_a-1,pub_count_Last_Author_a-1,pub_sum_last_author_a-1,guid_count_publications_a-1,guid_sum_Impact_factor_a-1,guid_count_Author_a-1,guid_sum_author_a-1,guid_count_First_Author_a-1,guid_sum_first_author_a-1,guid_count_Last_Author_a-1,guid_sum_last_author_a-1,nombre_session_congress_a-1,cong_count_chair_a-1,cong_count_poster_a-1,cong_count_speaker_a-1,count_collab_distinct_a-1,count_collab_a-1,sum_score_collab_a-1,pub_count_publications_a-2,pub_sum_Impact_factor_a-2,pub_count_Author_a-2,pub_sum_author_a-2,pub_count_First_Author_a-2,pub_sum_first_author_a-2,pub_count_Last_Author_a-2,pub_sum_last_author_a-2,guid_count_publications_a-2,guid_sum_Impact_factor_a-2,guid_count_Author_a-2,guid_sum_author_a-2,guid_count_First_Author_a-2,guid_sum_first_author_a-2,guid_count_Last_Author_a-2,guid_sum_last_author_a-2,nombre_session_congress_a-2,cong_count_chair_a-2,cong_count_poster_a-2,cong_count_speaker_a-2,count_collab_distinct_a-2,count_collab_a-2,sum_score_collab_a-2,ranking
A N Gratchev,2023-01-01,2,0.2,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.12997171953907,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7.64465807066419e-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8735
A N Gratchev,2024-01-01,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5.50825258519153e-02,2,0.2,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.12997171953907,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7.64465807066419e-02,8223
A N Gratchev,2025-01-01,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6.44197168761032e-02,1,0.1,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5.50825258519153e-02,2,0.2,0,0,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0.12997171953907,5888
Aadel A Chaudhuri,2023-01-01,2,6.9,0,0,0,0,2,6.9,0,0,0,0,0,0,0,0,0,0,0,0,7,14,1.06431968012145,8,99.6,7,57.5,0,0,1,42.1,0,0,0,0,0,0,0,0,1,0,0,1,53,67,4.83400583936543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1935
Aadel A Chaudhuri,2024-01-01,3,0.3,1,0.1,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.34796182760207,2,6.9,0,0,0,0,2,6.9,0,0,0,0,0,0,0,0,0,0,0,0,7,14,1.06431968012145,8,99.6,7,57.5,0,0,1,42.1,0,0,0,0,0,0,0,0,1,0,0,1,53,67,4.83400583936543,2155
Aadel A Chaudhuri,2025-01-01,2,29.8,1,29.7,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,23,23,1.11685217861853,3,0.3,1,0.1,0,0,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0.34796182760207,2,6.9,0,0,0,0,2,6.9,0,0,0,0,0,0,0,0,0,0,0,0,7,14,1.06431968012145,2307
Aakash Desai,2023-01-01,5,20.1,1,4,4,16.1,0,0,0,0,0,0,0,0,0,0,3,2,1,1,354,366,29.2696569794895,7,55.9,2,0.2,3,55.5,2,0.2,0,0,0,0,0,0,0,0,3,0,2,1,110,112,9.11592271690418,1,4.4,0,0,1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.745591733590211,285
Aakash Desai,2024-01-01,7,22.2,3,8,3,14.1,1,0.1,0,0,0,0,0,0,0,0,2,0,0,2,72,74,4.82868210843337,5,20.1,1,4,4,16.1,0,0,0,0,0,0,0,0,0,0,3,2,1,1,354,366,29.2696569794895,7,55.9,2,0.2,3,55.5,2,0.2,0,0,0,0,0,0,0,0,3,0,2,1,110,112,9.11592271690418,300
Aakash Desai,2025-01-01,12,83.3,8,54.5,2,13.8,2,15,0,0,0,0,0,0,0,0,0,0,0,0,100,107,6.38984998764909,7,22.2,3,8,3,14.1,1,0.1,0,0,0,0,0,0,0,0,2,0,0,2,72,74,4.82868210843337,5,20.1,1,4,4,16.1,0,0,0,0,0,0,0,0,0,0,3,2,1,1,354,366,29.2696569794895,309
Aaron Allen,2023-01-01,2,8.7,2,8.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0.937068135646999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5,0,0,0,0,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.686331990964216,9893
